"Raghunathganj, India",280258
"Rahuri, India",533512
"Raiganj, India",447927
"Raigarh, India",1828739
"Raipur, India",895696
"Raisen, India",1857202
"Raisinghnagar, India",462102
"Rajagangapur, India",1320124
"Rajahmundry, India",1119513
"Rajakhera, India",571686
"Rajampet, India",1485860
"Rajapalayam, India",1124595
"Rajgarh (Churu), India",1019918
"Rajgir, India",512717
"Rajkot, India",978132
"Rajnandgaon, India",348682
"Rajpipla, India",717299
"Rajpura, India",503178
"Rajsamand, India",1817290
"Rajula, India",1366623
"Ramachandrapuram, India",1036899
"Ramagundam, India",322362
"Ramanagaram, India",794804
"Ramanathapuram, India",531288
"Ramdurg, India",1518981
"Rameshwaram, India",365380
"Ramganj Mandi, India",1514894
"Ramgarh, India",325847
"Ramnagar, India",2448619
"Ramngarh, India",1084727
"Rampur, India",1193879
"Rampura Phul, India",339672
"Rampurhat, India",1580932
"Ranaghat, India",1555228
"Ranavav, India",1245169
"Ranchi, India",619502
"Ranebennuru, India",242748
"Ranibennur, India",591296
"Ranipet, India",454896
"Rasipuram, India",398893
"Rasra, India",443484
"Ratangarh, India",1039420
"Rath, India",1242525
"Ratlam, India",148187
"Ratnagiri, India",636008
"Raurkela, India",1041140
"Raver, India",763072
"Rawatbhata, India",915679
"Rawatsar, India",445391
"Raxaul Bazar, India",604555
"Rayachoti, India",520500
"Rayadurg, India",678118
"Rayagada, India",113126
"Renukoot, India",1589009
"Repalle, India",385899
"Revelganj, India",1329656
"Rewa, India",1254432
"Rewari, India",1266009
"Rishikesh, India",1155697
"Risod, India",1152693
"Robertsganj, India",1571540
"Robertson Pet, India",418586
"Rohtak, India",898778
"Roorkee, India",690299
"Rosera, India",883661
"Rudauli, India",937770
"Rudrapur, India",1574145
"Rupnagar, India",528448
"Sabalgarh, India",291701
"Sadabad, India",1290657
"Sadasivpet, India",975690
"Sadulpur, India",441250
"Safidon, India",260866
"Sagar, India",1623661
"Sagara, India",350366
"Sagwara, India",707183
"Saharanpur, India",399583
"Saharsa, India",1016752
"Sahaswan, India",1519696
"Sahibganj, India",729216
"Sailu, India",1776275
"Sainthia, India",1210821
"Salaya, India",260317
"Salem, India",717148
"Salur, India",636922
"Samalkot, India",315905
"Samana, India",777874
"Samastipur, India",741869
"Sambalpur, India",932140
"Sambhal, India",1126449
"Sanand, India",1511507
"Sanawad, India",788773
"Sandila, India",447480
"Sanduru, India",776256
"Sangamner, India",1315578
"Sangareddy, India",422376
"Sangaria, India",579070
"Sangli, India",675405
"Sangole, India",421187
"Sangrur, India",973162
"Sankarankoil, India",1313378
"Sankari, India",1785360
"Sankeshwara, India",1787051
"Santipur, India",919827
"Sarangpur, India",1289001
"Sardarshahar, India",665530
"Sardhana, India",1663388
"Sarni, India",207309
"Sasaram, India",860693
"Sasvad, India",528779
"Satana, India",978783
"Satara, India",795401
"Sathyamangalam, India",463611
"Satna, India",302811
"Sattenapalle, India",679431
"Sattur, India",1126133
"Saunda, India",1861691
"Saundatti-Yellamma, India",559830
"Savanur, India",457539
"Savarkundla, India",493070
"Savner, India",990850
"Sawai Madhopur, India",879191
"Sedam, India",1007642
"Sehore, India",1436028
"Sendhwa, India",1080160
"Seohara, India",720446
"Seoni, India",985134
"Seoni-Malwa, India",859305
"Shahabad Hardoi, India",874557
"Shahabad Rampur, India",458389
"Shahabad, India",1004345
"Shahade, India",1448775
"Shahbad, India",1095436
"Shahdol, India",1922564
"Shahjahanpur, India",1212725
"Shahpur, India",388774
"Shahpura, India",1155984
"Shajapur, India",1047754
"Shamli, India",324930
"Shamsabad Agra, India",399660
"Shegaon, India",1424378
"Sheikhpura, India",1016687
"Shenkottai, India",1195451
"Sheopur, India",900305
