City,Amount,Latitude,Longitude
"Koyilandy, India",1372726,11.4383564,75.696891
"Kozhikode, India",1043202,11.2450558,75.7754716
"Kunnamkulam, India",1286025,10.6548692,76.09587816203106
"Kurnool, India",1886088,15.8309251,78.0425373
"Kyathampalle, India",628876,17.9520284,79.3822016
"Lachhmangarh, India",475410,27.3637739,76.8581926
"Ladnu, India",380361,27.6418,74.3949
"Ladwa, India",905857,30.0332661,77.0462460523216
"Lahar, India",1009175,26.1925169,78.9426117
"Laharpur, India",952223,27.72838105,80.98388171487147
"Lakheri, India",1379916,25.6730413,76.1922423
"Lakhimpur, India",1287782,27.985060150000002,80.75384538357649
"Lakhisarai, India",541239,25.167702900000002,86.05935924304018
"Lakshmeshwar, India",1032468,29.9093475,79.0877008
"Lal Gopalganj Nindaura, India",623840,,
"Lalitpur, India",848581,24.70038485,78.51866758648347
"Lalsot, India",1160642,26.5630662,76.3281328
"Lanka, India",1527772,25.91331045,93.02566787197169
"Lar, India",466442,34.2656225,74.7359594050323
"Latur, India",210239,18.35159075,76.75542361334745
"Limbdi, India",633567,22.5660006,71.7899425
"Lingsugur, India",706063,16.1563,76.5242
"Lonavla, India",613627,18.7534635,73.4059575
"Loni, India",1263508,19.5821138,74.4709449
"Losal, India",628656,27.4004329,74.9182758
"Lucknow, India",115334476,26.8381,80.9346001
"Ludhiana, India",927725,30.9090157,75.851601
"Lumding, India",476003,25.7535433,93.1731676
"Lunawada, India",1119878,,
"Lunglei, India",1545004,22.898553,92.75192291719874
"Macherla, India",826773,16.4761106,79.4364146
"Machilipatnam, India",1507791,16.1817369,81.1348181
"Madanapalle, India",666999,13.57325965,78.47914644847344
"Maddur, India",1708604,12.5848984,77.0448679
"Madhepura, India",398410,25.9259562,86.82042961035677
"Madhubani, India",1298157,26.350071999999997,86.22914688962271
"Madhugiri, India",868174,13.6601789,77.2140882
"Madhupur, India",752398,24.287867900000002,86.61050950020086
"Madikeri, India",1027232,12.42149,75.7387543
"Madurai, India",479382,9.9261153,78.1140983
"Mahalingapura, India",578252,16.3879888,75.1115893
"Mahasamund, India",1774705,21.1882332,82.48484762499999
"Mahbubnagar, India",15458,16.7434538,77.9923191
"Mahe, India",988754,11.7021978,75.5364701
"Mahemdabad, India",972014,22.8218366,72.7782897
"Mahesana, India",1457579,23.6015557,72.3867981
"Mahidpur, India",167116,24.7630436,77.7075862
"Mahnar Bazar, India",1093105,,
"Mahuva, India",1070914,21.0914409,71.7621979
"Maihar, India",1856608,24.260444,80.7592749
"Mainaguri, India",1096328,26.5651987,88.8220215
"Makhdumpur, India",1273034,25.073940399999998,84.98787293898746
"Makrana, India",606715,27.0388103,74.7271171
"Malaj Khand, India",458379,,
"Malappuram, India",462960,11.10684475,76.10995510466662
"Malavalli, India",478747,12.3864073,77.0589464
"Malegaon, India",1639472,20.590250150000003,74.5714979275197
"Malerkotla, India",828812,30.533129,75.8807604
"Malkapur, India",496548,20.892664699999997,76.20502740958177
"Malout, India",561456,30.1902559,74.5001207
"Malpura, India",1321058,26.2888019,75.3729774
"Malur, India",485102,13.0060343,77.9382839
"Manavadar, India",523373,21.4979645,70.1406499
"Mancherial, India",1108300,18.8761795,79.4449696
"Mandamarri, India",132233,18.95415675,79.48779329882326
"Mandapeta, India",736697,16.896833700000002,81.91817932322371
"Mandi Dabwali, India",282540,29.9657112,74.702937
"Mandi, India",861910,31.6723392,76.95331690779145
"Mandideep, India",1766092,23.0965633,77.5144525
"Mandla, India",2047036,22.68536625,80.58150561711888
"Mandsaur, India",800994,24.2651306,75.38718193725012
"Mandvi, India",1819799,22.8314482,69.35081
"Mandya, India",562339,12.5238888,76.8961961
"Manendragarh, India",514281,23.2167227,82.2035806
"Maner, India",1110811,25.6603858,84.90893995030878
"Mangaluru, India",1059371,12.8698101,74.8430082
"Manglaur, India",802321,29.7921496,77.8760645
"Mangrol, India",1447507,26.810551,77.9612803
"Mangrulpir, India",1111682,20.275522549999998,77.3192219689895
"Manjlegaon, India",1155202,,
"Mankachar, India",974482,25.629632649999998,89.93159383615063
"Manmad, India",874743,20.2519828,74.4392286
"Mansa, India",1122453,29.8769971,75.4889866137018
"Manuguru, India",529912,17.9384182,80.817981
"Manvi, India",690244,15.9967483,77.0481181
"Manwath, India",573556,19.24358395,76.55916095750428
"Mapusa, India",438551,15.5926511,73.8119741
"Margao, India",2061941,15.272923,73.9583159
"Markapur, India",1073850,15.714987749999999,79.23882574620737
"Marmagao, India",1190441,15.41263865,73.79022945
"Masaurhi, India",690464,25.3516471,84.98734798892505
"Mathura, India",459688,27.633333,77.583333
"Mattannur, India",1467767,11.9307557,75.5712639
"Mavelikkara, India",583601,9.2090753,76.58149987745429
"Mavoor, India",468767,10.2068553,78.7311816
"Medak, India",930909,17.9375095,78.21174498510584
"Medininagar (Daltonganj), India",1524872,24.02265335,84.11191072812582
"Medinipur, India",1058957,22.4207025,87.3269963
"Meerut, India",805204,29.000652549999998,77.76822875372174
"Mehkar, India",891498,20.26384775,76.63371229145883
"Memari, India",272188,23.1756813,88.0963919
